GENSPECIES,Family
Corydalus sp.,Corydalidae
Nigronia serricornis,Corydalidae
Undetermined Corydalidae,Corydalidae
Undetermined Curculionidae,Curculionidae
Dixa sp.,Dixidae
Undetermined Dixidae,Dixidae
Helichus sp.,Dryopidae
Undetermined Dryopidae,Dryopidae
Agabetes sp.,Dytiscidae
Agabus sp.,Dytiscidae
Celina sp.,Dytiscidae
Hydroporous sp.,Dytiscidae
Laccophilus sp.,Dytiscidae
Undetermined Dytiscidae,Dytiscidae
Ancyronyx sp.,Elmidae
Ancyronyx variegatus,Elmidae
Dubiraphia bivittata,Elmidae
Dubiraphia quadrinotata,Elmidae
Dubiraphia sp.,Elmidae
Dubiraphia vittata,Elmidae
Macronychus glabratus,Elmidae
Macronychus sp.,Elmidae
Microcylloepus pusillus,Elmidae
Microcylloepus sp.,Elmidae
Optioservus cryophilus,Elmidae
Optioservus fastiditus,Elmidae
Optioservus immunis,Elmidae
Optioservus nr. sandersoni,Elmidae
Optioservus ovalis,Elmidae
Optioservus sp.,Elmidae
Optioservus trivittatus,Elmidae
Oulimnius latiusculus,Elmidae
Oulimnius nitidulus,Elmidae
Oulimnius sp.,Elmidae
Promoresia elegans,Elmidae
Promoresia sp.,Elmidae
Promoresia tardella,Elmidae
Stenelmis bicarinata,Elmidae
Stenelmis cheryl,Elmidae
Stenelmis concinna,Elmidae
Stenelmis crenata,Elmidae
Stenelmis mera,Elmidae
Stenelmis musgravei,Elmidae
Stenelmis sandersoni,Elmidae
Stenelmis sp.,Elmidae
Stenelmis vittapennis,Elmidae
Undetermined Elmidae,Elmidae
Chelifera sp.,Empididae
Clinocera sp.,Empididae
Hemerodromia sp.,Empididae
Neoplasta sp.,Empididae
Oreogeton sp.,Empididae
Undetermined Empididae,Empididae
Wiedemannia sp.,Empididae
Attenella attenuata,Ephemerellidae
Attenella margarita,Ephemerellidae
Attenella sp.,Ephemerellidae
Dannella simplex,Ephemerellidae
Dannella sp.,Ephemerellidae
Drunella cornuta,Ephemerellidae
Drunella cornutella,Ephemerellidae
Drunella lata,Ephemerellidae
Drunella sp.,Ephemerellidae
Drunella tuberculata,Ephemerellidae
Drunella walkeri,Ephemerellidae
Ephemerella aurivillii,Ephemerellidae
Ephemerella dorothea,Ephemerellidae
Ephemerella excrucians?,Ephemerellidae
Ephemerella invaria,Ephemerellidae
Ephemerella needhami,Ephemerellidae
Ephemerella rotunda,Ephemerellidae
Ephemerella sp.,Ephemerellidae
Ephemerella subvaria,Ephemerellidae
Eurylophella funeralis,Ephemerellidae
Eurylophella sp.,Ephemerellidae
Eurylophella temporalis,Ephemerellidae
Eurylophella verisimilis,Ephemerellidae
Serratella deficiens,Ephemerellidae
Serratella serrata,Ephemerellidae
Serratella serratoides,Ephemerellidae
Serratella sordida,Ephemerellidae
